split,h,model,scope,pinball_0.1,pinball_0.5,pinball_0.9,mae_p50,dir_hit
valid,7,rw,POOLED,0.021694684848951852,0.04865680353706087,0.024749340914701854,0.09731360707412175,0.516994633273703
valid,7,rw,Panamax,0.017477417065598543,0.042218393633251826,0.02034888865662986,0.08443678726650365,0.5161290322580645
valid,7,rw,Supramax,0.013823690003739368,0.031112515061859584,0.01681457801359802,0.06222503012371917,0.4982078853046595
valid,7,xgb,Capesize,0.042987020400702,0.08776837374068377,0.044681471634019386,0.17553674748136755,0.6523297491039427
valid,7,xgb,Handysize,0.00492395997473753,0.012070240307743195,0.007017040240627937,0.02414048061548639,0.7864768683274022
valid,7,xgb,POOLED,0.018127433400090202,0.039094179294039334,0.02017430279005667,0.07818835858807867,0.725402504472272
valid,7,xgb,Panamax,0.015342169036070961,0.03546377223236611,0.017411889207760975,0.07092754446473222,0.7096774193548387
valid,7,xgb,Supramax,0.009351232743870768,0.021268050888097596,0.011681127372079545,0.04253610177619519,0.7526881720430108
valid,30,ar1,Capesize,0.10955994763426083,0.2113702426068654,0.10269226178914609,0.4227404852137308,0.4946236559139785
valid,30,ar1,Handysize,0.033232084081684675,0.08195114348838026,0.033536441239969496,0.16390228697676051,0.47330960854092524
valid,30,ar1,POOLED,0.05472252601666593,0.11695870456498125,0.05658434088715805,0.2339174091299625,0.5483005366726297
valid,30,ar1,Panamax,0.040611377850291806,0.09046002646564695,0.045048217736942654,0.1809200529312939,0.5842293906810035
valid,30,ar1,Supramax,0.03564074784763064,0.084304355957646,0.04522566070119181,0.168608711915292,0.6415770609318996
valid,30,rw,Capesize,0.10648843569315025,0.21656858287809658,0.11300968504362971,0.43313716575619315,0.4121863799283154
valid,30,rw,Handysize,0.03145947257650075,0.08052657735445126,0.04498837071954303,0.16105315470890252,0.5266903914590747
valid,30,rw,POOLED,0.053352420393942446,0.1195805490992715,0.06462757401983768,0.239161098198543,0.48300536672629696
valid,30,rw,Panamax,0.039309550892034875,0.09363904598202995,0.04908421592468276,0.1872780919640599,0.5089605734767025
valid,30,rw,Supramax,0.03630916110811572,0.08786794696920947,0.051568807210852136,0.17573589393841893,0.4838709677419355
valid,30,xgb,Capesize,0.08778033394822175,0.18397017923881118,0.11012849524348077,0.36794035847762235,0.6881720430107527
valid,30,xgb,Handysize,0.028210647824099447,0.06384157739921904,0.03337499886344822,0.1276831547984381,0.6619217081850534
valid,30,xgb,POOLED,0.04619194025344956,0.10062490787738484,0.05624513231477316,0.2012498157547697,0.6511627906976745
valid,30,xgb,Panamax,0.03478278526569247,0.08161847289059017,0.042402544816123364,0.16323694578118034,0.5519713261648745
valid,30,xgb,Supramax,0.034122892129399916,0.07333308176929297,0.039238433945010295,0.14666616353858594,0.7025089605734767
valid,90,ar1,Capesize,0.13316027331400143,0.2146958688420678,0.1046814354207017,0.4293917376841356,0.5125448028673835
valid,90,ar1,Handysize,0.05375107283296558,0.09466560178782317,0.04612143101106232,0.18933120357564634,0.6441281138790036
valid,90,ar1,POOLED,0.07580322415777904,0.13698544842712715,0.05590093640217627,0.2739708968542543,0.6422182468694096
valid,90,ar1,Panamax,0.0618759302525401,0.12303359565127392,0.03617009295084649,0.24606719130254784,0.6093189964157706
valid,90,ar1,Supramax,0.05458370016942133,0.11585009550361115,0.03670089020739288,0.2317001910072223,0.8028673835125448
valid,90,rw,Capesize,0.13136632984083677,0.20671062313441468,0.135636221716913,0.41342124626882937,0.4121863799283154
valid,90,rw,Handysize,0.05292257593555858,0.11266515069370735,0.04347028057378278,0.2253303013874147,0.35587188612099646
valid,90,rw,POOLED,0.07543664940915575,0.14544583532345592,0.07028825448186375,0.29089167064691185,0.41234347048300535
valid,90,rw,Panamax,0.05905988202551045,0.12787239381533919,0.04737079142570196,0.25574478763067837,0.45161290322580644
valid,90,rw,Supramax,0.058559201042413175,0.1347701606369557,0.05486796775161701,0.2695403212739114,0.43010752688172044
valid,90,xgb,Capesize,0.0726790932232291,0.19454012482377758,0.11488455539596612,0.38908024964755517,0.6738351254480287
valid,90,xgb,Handysize,0.05999376357283016,0.10503848554315691,0.04370066524017202,0.21007697108631382,0.693950177935943
valid,90,xgb,POOLED,0.06368829467684568,0.1365082269714234,0.06140835901422071,0.2730164539428468,0.6565295169946332
valid,90,xgb,Panamax,0.054563230031872086,0.1247000470300162,0.04396500881581182,0.2494000940600324,0.5734767025089605
valid,90,xgb,Supramax,0.06754357597338698,0.12197984003303146,0.04321014347786516,0.24395968006606292,0.6845878136200717
