"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2015","621.00","621.00","621.00","621.00","","-0.64%"
"04/30/2015","625.00","625.00","625.00","625.00","","-0.32%"
"04/29/2015","627.00","627.00","627.00","627.00","","-0.16%"
"04/28/2015","628.00","628.00","628.00","628.00","","0.32%"
"04/27/2015","626.00","626.00","626.00","626.00","","0.32%"
"04/24/2015","624.00","624.00","624.00","624.00","","0.48%"
"04/23/2015","621.00","621.00","621.00","621.00","","0.16%"
"04/22/2015","620.00","620.00","620.00","620.00","","0.16%"
"04/21/2015","619.00","619.00","619.00","619.00","","0.16%"
"04/20/2015","618.00","618.00","618.00","618.00","","-0.16%"
"04/17/2015","619.00","619.00","619.00","619.00","","1.14%"
"04/16/2015","612.00","612.00","612.00","612.00","","0.66%"
"04/15/2015","608.00","608.00","608.00","608.00","","0.00%"
"04/14/2015","608.00","608.00","608.00","608.00","","-0.16%"
"04/13/2015","609.00","609.00","609.00","609.00","","-0.65%"
"04/10/2015","613.00","613.00","613.00","613.00","","-0.65%"
"04/09/2015","617.00","617.00","617.00","617.00","","-1.12%"
"04/08/2015","624.00","624.00","624.00","624.00","","-1.11%"
"04/07/2015","631.00","631.00","631.00","631.00","","-0.79%"
"04/02/2015","636.00","636.00","636.00","636.00","","-1.55%"
"04/01/2015","646.00","646.00","646.00","646.00","","-0.62%"
"03/31/2015","650.00","650.00","650.00","650.00","","0.15%"
"03/30/2015","649.00","649.00","649.00","649.00","","0.31%"
"03/27/2015","647.00","647.00","647.00","647.00","","-0.15%"
"03/26/2015","648.00","648.00","648.00","648.00","","0.00%"
"03/25/2015","648.00","648.00","648.00","648.00","","0.47%"
"03/24/2015","645.00","645.00","645.00","645.00","","0.78%"
"03/23/2015","640.00","640.00","640.00","640.00","","0.79%"
"03/20/2015","635.00","635.00","635.00","635.00","","1.28%"
"03/19/2015","627.00","627.00","627.00","627.00","","0.64%"
"03/18/2015","623.00","623.00","623.00","623.00","","1.14%"
"03/17/2015","616.00","616.00","616.00","616.00","","0.82%"
"03/16/2015","611.00","611.00","611.00","611.00","","0.83%"
"03/13/2015","606.00","606.00","606.00","606.00","","1.68%"
"03/12/2015","596.00","596.00","596.00","596.00","","1.19%"
"03/11/2015","589.00","589.00","589.00","589.00","","1.55%"
"03/10/2015","580.00","580.00","580.00","580.00","","1.22%"
"03/09/2015","573.00","573.00","573.00","573.00","","1.24%"
"03/06/2015","566.00","566.00","566.00","566.00","","1.07%"
"03/05/2015","560.00","560.00","560.00","560.00","","1.82%"
"03/04/2015","550.00","550.00","550.00","550.00","","1.66%"
"03/03/2015","541.00","541.00","541.00","541.00","","2.46%"
"03/02/2015","528.00","528.00","528.00","528.00","","2.52%"
"02/27/2015","515.00","515.00","515.00","515.00","","1.78%"
"02/26/2015","506.00","506.00","506.00","506.00","","2.02%"
"02/25/2015","496.00","496.00","496.00","496.00","","1.22%"
"02/24/2015","490.00","490.00","490.00","490.00","","-0.41%"
"02/23/2015","492.00","492.00","492.00","492.00","","0.41%"
"02/20/2015","490.00","490.00","490.00","490.00","","1.45%"
"02/19/2015","483.00","483.00","483.00","483.00","","1.05%"
"02/18/2015","478.00","478.00","478.00","478.00","","-0.42%"
"02/17/2015","480.00","480.00","480.00","480.00","","0.00%"
"02/16/2015","480.00","480.00","480.00","480.00","","-1.23%"
"02/13/2015","486.00","486.00","486.00","486.00","","-2.02%"
"02/12/2015","496.00","496.00","496.00","496.00","","-2.36%"
"02/11/2015","508.00","508.00","508.00","508.00","","-1.55%"
"02/10/2015","516.00","516.00","516.00","516.00","","-1.34%"
"02/09/2015","523.00","523.00","523.00","523.00","","-1.32%"
"02/06/2015","530.00","530.00","530.00","530.00","","-1.49%"
"02/05/2015","538.00","538.00","538.00","538.00","","-1.28%"
"02/04/2015","545.00","545.00","545.00","545.00","","-1.98%"
"02/03/2015","556.00","556.00","556.00","556.00","","-1.94%"
"02/02/2015","567.00","567.00","567.00","567.00","","-3.08%"
"01/30/2015","585.00","585.00","585.00","585.00","","-2.34%"
"01/29/2015","599.00","599.00","599.00","599.00","","-3.07%"
"01/28/2015","618.00","618.00","618.00","618.00","","-2.22%"
"01/27/2015","632.00","632.00","632.00","632.00","","-1.56%"
"01/26/2015","642.00","642.00","642.00","642.00","","-1.23%"
